,수위
658,1.16
659,1.16
660,1.16
661,1.15
662,1.14
663,1.15
664,1.16
665,1.15
666,1.15
667,1.15
668,1.15
669,1.14
670,1.15
671,1.14
672,1.15
673,1.13
674,1.14
675,1.13
676,1.12
677,1.13
678,1.14
679,1.14
680,1.14
681,1.14
682,1.14
683,1.14
684,1.14
685,1.14
686,1.14
687,1.14
688,1.14
689,1.14
690,1.14
691,1.15
692,1.15
693,1.14
694,1.11
695,1.14
696,1.14
697,1.14
698,1.14
699,1.14
700,1.14
701,1.14
702,1.14
703,1.14
704,1.14
705,1.14
706,1.14
707,1.14
708,1.14
709,1.14
710,1.14
711,1.14
712,1.14
713,1.14
714,1.14
715,1.14
716,1.14
717,1.14
718,1.14
719,1.14
720,1.14
721,1.14
722,1.14
723,1.14
724,1.18
725,1.19
726,1.19
727,1.18
728,1.16
729,1.15
730,1.14
731,1.13
732,1.13
733,1.14
734,1.16
735,1.16
736,1.16
737,1.15
738,1.14
739,1.14
740,1.13
741,1.13
742,1.13
743,1.13
744,1.13
745,1.13
746,1.13
747,1.13
748,1.13
749,1.12
750,1.12
751,1.12
752,1.12
753,1.12
754,1.12
755,1.12
756,1.12
757,1.12
758,1.12
759,1.11
760,1.11
761,1.11
762,1.11
763,1.11
764,1.11
765,1.11
766,1.1
767,1.1
768,1.1
769,1.09
770,1.09
771,1.09
772,1.09
773,1.09
774,1.09
775,1.08
776,1.08
777,1.08
778,1.07
779,1.07
780,1.07
781,1.07
782,1.06
783,1.06
784,1.06
785,1.06
786,1.06
787,1.05
788,1.05
789,1.05
790,1.05
791,1.05
792,1.05
793,1.04
794,1.04
795,1.04
796,1.04
797,1.04
798,1.04
799,1.04
800,1.04
801,1.03
802,1.04
803,1.04
804,1.04
805,1.03
806,1.03
807,1.03
808,1.04
809,1.04
810,1.04
811,1.04
812,1.04
813,1.05
814,1.06
815,1.07
816,1.07
817,1.08
818,1.09
819,1.09
820,1.1
821,1.11
822,1.11
823,1.12
824,1.12
825,1.13
826,1.14
827,1.11
828,1.16
829,1.18
830,1.19
831,1.21
832,1.22
833,1.23
834,1.22
835,1.19
836,1.19
837,1.2
838,1.2
839,1.21
840,1.21
841,1.21
842,1.21
843,1.2
844,1.19
845,1.19
846,1.19
847,1.18
848,1.18
849,1.18
850,1.18
851,1.18
852,1.18
853,1.18
854,1.18
855,1.17
856,1.17
857,1.17
858,1.17
859,1.17
860,1.17
861,1.17
862,1.17
863,1.17
864,1.16
865,1.16
866,1.16
867,1.16
868,1.16
869,1.16
870,1.14
871,1.12
872,1.1
873,1.08
874,1.07
875,1.09
876,1.09
877,1.09
878,1.08
879,1.07
880,1.06
881,1.05
882,1.05
883,1.05
884,1.06
885,1.07
886,1.07
887,1.07
888,1.06
889,1.06
890,1.05
891,1.05
892,1.05
893,1.05
894,1.05
895,1.05
896,1.05
897,1.05
898,1.05
899,1.05
900,1.04
901,1.04
902,1.04
903,1.04
904,1.04
905,1.04
906,1.04
907,1.04
908,1.04
909,1.04
910,1.04
911,1.04
912,1.04
913,1.04
914,1.04
915,1.04
916,1.04
917,1.04
918,1.03
919,1.03
920,1.03
921,1.03
922,1.03
923,1.03
924,1.03
925,1.04
926,1.07
927,1.09
928,1.11
929,1.12
930,1.14
931,1.15
932,1.16
933,1.17
934,1.18
935,1.2
936,1.21
937,1.18
938,1.18
939,1.18
940,1.18
941,1.18
942,1.18
943,1.18
944,1.17
945,1.15
946,1.14
947,1.13
948,1.12
949,1.12
950,1.12
951,1.13
952,1.13
953,1.13
954,1.13
955,1.13
956,1.13
957,1.12
958,1.12
959,1.12
960,1.12
961,1.12
962,1.12
963,1.12
964,1.12
965,1.12
966,1.12
967,1.12
968,1.12
969,1.12
970,1.12
971,1.13
972,1.13
973,1.13
974,1.13
975,1.13
976,1.13
977,1.13
978,1.14
979,1.14
980,1.13
981,1.13
982,1.12
983,1.11
984,1.11
985,1.1
986,1.1
987,1.11
988,1.11
989,1.11
990,1.11
991,1.11
992,1.11
993,1.11
994,1.11
995,1.11
996,1.11
997,1.11
998,1.11
999,1.11
1000,1.11
1001,1.11
1002,1.11
1003,1.11
1004,1.11
1005,1.11
1006,1.11
1007,1.11
1008,1.11
1009,1.11
1010,1.11
1011,1.11
1012,1.11
1013,1.11
1014,1.11
1015,1.12
1016,1.12
1017,1.13
1018,1.13
1019,1.13
1020,1.13
1021,1.14
1022,1.14
1023,1.14
1024,1.14
1025,1.15
1026,1.15
1027,1.15
1028,1.16
1029,1.16
1030,1.16
1031,1.16
1032,1.16
1033,1.17
1034,1.17
1035,1.17
1036,1.17
1037,1.17
1038,1.17
1039,1.18
1040,1.18
1041,1.18
1042,1.18
1043,1.18
1044,1.18
1045,1.18
1046,1.18
1047,1.18
1048,1.18
1049,1.18
1050,1.17
1051,1.17
1052,1.16
1053,1.16
1054,1.16
1055,1.16
1056,1.16
1057,1.16
1058,1.16
1059,1.15
1060,1.14
1061,1.14
1062,1.14
1063,1.14
1064,1.14
1065,1.14
1066,1.14
1067,1.14
1068,1.14
1069,1.13
1070,1.13
1071,1.12
1072,1.12
1073,1.12
1074,1.12
1075,1.12
1076,1.12
1077,1.12
1078,1.12
1079,1.12
1080,1.12
1081,1.12
1082,1.12
1083,1.12
1084,1.12
1085,1.12
1086,1.12
1087,1.12
1088,1.12
1089,1.12
1090,1.12
1091,1.12
1092,1.12
1093,1.12
1094,1.12
1095,1.12
1096,1.11
1097,1.11
1098,1.1
1099,1.11
1100,1.11
1101,1.11
1102,1.11
1103,1.11
1104,1.11
1105,1.12
1106,1.12
1107,1.12
1108,1.13
1109,1.13
1110,1.13
1111,1.13
1112,1.14
1113,1.14
1114,1.14
1115,1.15
1116,1.15
1117,1.15
1118,1.15
1119,1.15
1120,1.16
1121,1.16
1122,1.16
1123,1.17
1124,1.19
1125,1.2
1126,1.21
1127,1.22
1128,1.23
1129,1.23
1130,1.24
1131,1.23
1132,1.2
1133,1.2
1134,1.2
1135,1.2
1136,1.2
1137,1.2
1138,1.2
1139,1.2
1140,1.17
1141,1.15
1142,1.13
1143,1.11
1144,1.1
1145,1.1
1146,1.09
1147,1.08
1148,1.07
1149,1.07
1150,1.07
1151,1.06
1152,1.05
1153,1.04
1154,1.05
1155,1.06
1156,1.06
1157,1.06
1158,1.06
1159,1.06
1160,1.06
1161,1.05
1162,1.05
1163,1.05
1164,1.05
1165,1.05
1166,1.05
1167,1.05
1168,1.05
1169,1.05
1170,1.05
1171,1.05
1172,1.05
1173,1.05
1174,1.05
1175,1.05
1176,1.05
1177,1.05
1178,1.05
1179,1.05
1180,1.05
1181,1.04
1182,1.04
1183,1.04
1184,1.04
1185,1.04
1186,1.04
1187,1.04
1188,1.04
1189,1.04
1190,1.04
1191,1.04
1192,1.04
1193,1.04
1194,1.04
1195,1.04
1196,1.04
1197,1.04
1198,1.04
1199,1.04
1200,1.04
1201,1.03
1202,1.03
1203,1.03
1204,1.03
1205,1.03
1206,1.03
1207,1.03
1208,1.03
1209,1.03
1210,1.03
1211,1.03
1212,1.03
1213,1.03
1214,1.04
1215,1.05
1216,1.06
1217,1.07
1218,1.08
1219,1.09
1220,1.09
1221,1.1
1222,1.1
1223,1.11
1224,1.12
1225,1.13
1226,1.14
1227,1.14
1228,1.15
1229,1.15
1230,1.15
1231,1.15
1232,1.15
1233,1.15
1234,1.15
1235,1.15
1236,1.15
1237,1.16
1238,1.17
1239,1.18
1240,1.18
1241,1.18
1242,1.18
1243,1.18
1244,1.18
1245,1.18
1246,1.19
1247,1.19
1248,1.2
1249,1.2
1250,1.2
1251,1.19
1252,1.19
1253,1.18
1254,1.18
1255,1.18
1256,1.18
1257,1.18
1258,1.18
1259,1.17
1260,1.17
1261,1.16
1262,1.16
1263,1.15
1264,1.15
1265,1.15
1266,1.14
1267,1.14
1268,1.13
1269,1.12
1270,1.11
1271,1.1
1272,1.09
1273,1.09
1274,1.08
1275,1.08
1276,1.07
1277,1.07
1278,1.07
1279,1.07
1280,1.07
1281,1.07
1282,1.06
1283,1.05
1284,1.05
1285,1.05
1286,1.05
1287,1.06
1288,1.06
1289,1.06
1290,1.06
1291,1.06
1292,1.06
1293,1.06
1294,1.06
1295,1.06
1296,1.06
1297,1.06
1298,1.06
1299,1.06
1300,1.06
1301,1.06
1302,1.06
1303,1.06
1304,1.06
1305,1.06
1306,1.06
1307,1.06
1308,1.06
1309,1.06
1310,1.06
1311,1.06
1312,1.06
1313,1.05
1314,1.05
1315,1.05
1316,1.05
1317,1.05
1318,1.05
1319,1.05
1320,1.05
1321,1.05
1322,1.05
1323,1.05
1324,1.05
1325,1.05
1326,1.05
1327,1.05
1328,1.04
1329,1.04
1330,1.04
1331,1.04
1332,1.04
1333,1.04
1334,1.04
1335,1.04
1336,1.04
1337,1.04
1338,1.04
1339,1.04
1340,1.03
1341,1.03
1342,1.03
1343,1.03
1344,1.03
1345,1.03
1346,1.03
1347,1.03
1348,1.03
1349,1.03
1350,1.03
1351,1.04
1352,1.04
1353,1.06
1354,1.07
1355,1.08
1356,1.09
1357,1.09
1358,1.1
1359,1.1
1360,1.1
1361,1.11
1362,1.12
1363,1.13
1364,1.13
1365,1.14
1366,1.14
1367,1.15
1368,1.15
1369,1.16
1370,1.16
1371,1.16
1372,1.17
1373,1.17
1374,1.18
1375,1.18
1376,1.18
1377,1.18
1378,1.18
1379,1.18
1380,1.19
1381,1.19
1382,1.19
1383,1.19
1384,1.2
1385,1.19
1386,1.18
1387,1.18
1388,1.18
1389,1.18
1390,1.18
1391,1.18
1392,1.18
1393,1.17
1394,1.16
1395,1.16
1396,1.16
1397,1.15
1398,1.15
1399,1.15
1400,1.15
1401,1.15
1402,1.14
1403,1.14
1404,1.14
1405,1.14
1406,1.13
1407,1.13
1408,1.13
1409,1.13
1410,1.12
1411,1.12
1412,1.12
1413,1.12
1414,1.12
1415,1.12
1416,1.12
1417,1.12
1418,1.11
1419,1.11
1420,1.12
1421,1.12
1422,1.12
1423,1.12
1424,1.12
1425,1.12
1426,1.12
1427,1.12
1428,1.12
1429,1.12
1430,1.11
1431,1.12
1432,1.12
1433,1.12
1434,1.12
1435,1.12
1436,1.12
1437,1.12
1438,1.13
1439,1.13
1440,1.13
1441,1.14
1442,1.14
1443,1.14
1444,1.14
1445,1.15
1446,1.14
1447,1.14
1448,1.13
1449,1.12
1450,1.12
1451,1.12
1452,1.11
1453,1.11
1454,1.1
1455,1.1
1456,1.1
1457,1.09
1458,1.09
1459,1.09
1460,1.08
1461,1.08
1462,1.07
1463,1.07
1464,1.07
1465,1.06
1466,1.06
1467,1.06
1468,1.06
1469,1.06
1470,1.06
1471,1.05
1472,1.05
1473,1.05
1474,1.05
1475,1.04
1476,1.04
1477,1.04
1478,1.04
1479,1.04
1480,1.04
1481,1.04
1482,1.04
1483,1.04
1484,1.04
1485,1.04
1486,1.04
1487,1.04
1488,1.03
1489,1.03
1490,1.03
1491,1.03
1492,1.03
1493,1.03
1494,1.03
1495,1.03
1496,1.03
1497,1.03
1498,1.03
1499,1.03
1500,1.03
1501,1.03
1502,1.03
1503,1.03
1504,1.03
1505,1.03
1506,1.03
1507,1.04
1508,1.07
1509,1.09
1510,1.11
1511,1.13
1512,1.14
1513,1.15
1514,1.16
1515,1.17
1516,1.18
1517,1.19
1518,1.2
1519,1.18
1520,1.18
1521,1.18
1522,1.17
1523,1.17
1524,1.16
1525,1.16
1526,1.15
1527,1.14
1528,1.13
1529,1.13
1530,1.13
1531,1.13
1532,1.13
1533,1.13
1534,1.13
1535,1.14
1536,1.14
1537,1.15
1538,1.16
1539,1.17
1540,1.18
1541,1.18
1542,1.17
1543,1.17
1544,1.16
1545,1.16
1546,1.15
1547,1.15
1548,1.15
1549,1.15
1550,1.15
1551,1.14
1552,1.13
1553,1.13
1554,1.13
1555,1.13
1556,1.13
1557,1.13
1558,1.13
1559,1.13
1560,1.13
1561,1.13
1562,1.13
1563,1.13
1564,1.13
1565,1.13
1566,1.13
1567,1.13
1568,1.13
1569,1.13
1570,1.13
1571,1.13
1572,1.13
1573,1.13
1574,1.13
1575,1.13
1576,1.13
1577,1.13
1578,1.12
1579,1.12
1580,1.12
1581,1.12
1582,1.12
1583,1.12
1584,1.12
1585,1.12
1586,1.12
1587,1.12
1588,1.12
1589,1.12
1590,1.12
1591,1.12
1592,1.12
1593,1.11
1594,1.11
1595,1.11
1596,1.11
1597,1.11
1598,1.11
1599,1.11
1600,1.11
1601,1.11
1602,1.1
1603,1.1
1604,1.1
1605,1.09
1606,1.09
1607,1.09
1608,1.09
1609,1.09
1610,1.09
1611,1.09
1612,1.08
1613,1.08
1614,1.08
1615,1.08
1616,1.08
1617,1.08
1618,1.08
1619,1.08
1620,1.07
1621,1.07
1622,1.07
1623,1.07
1624,1.07
1625,1.07
1626,1.07
1627,1.07
1628,1.07
1629,1.07
1630,1.07
1631,1.06
1632,1.06
1633,1.06
1634,1.06
1635,1.06
1636,1.06
1637,1.06
1638,1.06
1639,1.06
1640,1.06
1641,1.07
1642,1.07
1643,1.08
1644,1.08
1645,1.08
1646,1.08
1647,1.09
1648,1.09
1649,1.1
1650,1.1
1651,1.1
1652,1.11
1653,1.11
1654,1.11
1655,1.12
1656,1.12
1657,1.12
1658,1.13
1659,1.13
1660,1.13
1661,1.14
1662,1.14
1663,1.14
1664,1.14
1665,1.14
1666,1.15
1667,1.15
1668,1.15
1669,1.15
1670,1.15
1671,1.16
1672,1.16
1673,1.16
1674,1.16
1675,1.16
1676,1.17
1677,1.17
1678,1.17
1679,1.17
1680,1.17
1681,1.17
1682,1.17
1683,1.17
1684,1.18
1685,1.18
1686,1.19
1687,1.19
1688,1.19
1689,1.19
1690,1.18
1691,1.18
1692,1.18
1693,1.19
1694,1.19
1695,1.19
1696,1.19
1697,1.19
1698,1.19
1699,1.19
1700,1.19
1701,1.13
1702,1.16
1703,1.16
1704,1.16
1705,1.16
1706,1.16
1707,1.16
1708,1.16
1709,1.15
1710,1.15
1711,1.15
1712,1.15
1713,1.15
1714,1.15
1715,1.15
1716,1.15
1717,1.15
1718,1.15
1719,1.14
1720,1.12
1721,1.1
1722,1.08
1723,1.1
1724,1.1
1725,1.1
1726,1.09
1727,1.08
1728,1.08
1729,1.07
1730,1.06
1731,1.06
1732,1.07
1733,1.08
1734,1.08
1735,1.08
1736,1.07
1737,1.07
1738,1.06
1739,1.06
1740,1.06
1741,1.06
1742,1.06
1743,1.06
1744,1.06
1745,1.06
1746,1.06
1747,1.06
1748,1.06
1749,1.06
1750,1.05
1751,1.05
1752,1.05
1753,1.05
1754,1.05
1755,1.05
1756,1.05
1757,1.05
1758,1.05
1759,1.05
1760,1.05
1761,1.05
1762,1.05
1763,1.05
1764,1.05
1765,1.05
1766,1.05
1767,1.05
1768,1.05
1769,1.05
1770,1.05
1771,1.05
1772,1.05
1773,1.05
1774,1.05
1775,1.05
1776,1.05
1777,1.05
1778,1.05
1779,1.05
1780,1.05
1781,1.05
1782,1.05
1783,1.05
1784,1.05
1785,1.05
1786,1.05
1787,1.05
1788,1.05
1789,1.05
1790,1.05
1791,1.05
1792,1.05
1793,1.05
1794,1.05
1795,1.06
1796,1.07
1797,1.08
1798,1.09
1799,1.1
1800,1.1
1801,1.11
1802,1.11
1803,1.12
1804,1.13
1805,1.14
1806,1.14
1807,1.15
1808,1.16
1809,1.16
1810,1.17
1811,1.17
1812,1.17
1813,1.18
1814,1.18
1815,1.2
1816,1.21
1817,1.22
1818,1.19
1819,1.2
1820,1.2
1821,1.2
1822,1.19
1823,1.19
1824,1.18
1825,1.17
1826,1.15
1827,1.14
1828,1.13
1829,1.13
1830,1.12
1831,1.13
1832,1.13
1833,1.12
1834,1.12
1835,1.11
1836,1.11
1837,1.1
1838,1.09
1839,1.09
1840,1.08
1841,1.07
1842,1.07
1843,1.06
1844,1.05
1845,1.05
1846,1.04
1847,1.04
1848,1.03
1849,1.03
1850,1.04
1851,1.05
1852,1.05
1853,1.05
1854,1.05
1855,1.05
1856,1.05
1857,1.05
1858,1.05
1859,1.07
1860,1.08
1861,1.08
1862,1.09
1863,1.09
1864,1.09
1865,1.1
1866,1.11
1867,1.11
1868,1.12
1869,1.13
1870,1.15
1871,1.15
1872,1.15
1873,1.15
1874,1.16
1875,1.16
1876,1.17
1877,1.17
1878,1.18
1879,1.18
1880,1.19
1881,1.19
1882,1.19
1883,1.2
1884,1.2
1885,1.2
1886,1.2
1887,1.2
1888,1.2
1889,1.2
1890,1.19
1891,1.19
1892,1.18
1893,1.18
1894,1.18
1895,1.18
1896,1.17
1897,1.17
1898,1.16
1899,1.16
1900,1.15
1901,1.15
1902,1.14
1903,1.14
1904,1.14
1905,1.14
1906,1.13
1907,1.13
1908,1.13
1909,1.12
1910,1.12
1911,1.12
1912,1.12
1913,1.11
1914,1.11
1915,1.11
1916,1.11
1917,1.11
1918,1.1
1919,1.1
1920,1.1
1921,1.1
1922,1.1
1923,1.09
1924,1.09
1925,1.09
1926,1.09
1927,1.09
1928,1.08
1929,1.08
1930,1.08
1931,1.08
1932,1.08
1933,1.08
1934,1.08
1935,1.07
1936,1.07
1937,1.07
1938,1.07
1939,1.07
1940,1.07
1941,1.07
1942,1.07
1943,1.07
1944,1.07
1945,1.07
1946,1.07
1947,1.06
1948,1.06
1949,1.06
1950,1.06
1951,1.06
1952,1.06
1953,1.06
1954,1.06
1955,1.06
1956,1.06
1957,1.06
1958,1.08
1959,1.09
1960,1.1
1961,1.1
1962,1.11
1963,1.11
1964,1.12
1965,1.12
1966,1.13
1967,1.14
1968,1.15
1969,1.16
1970,1.16
1971,1.17
1972,1.17
1973,1.18
1974,1.18
1975,1.18
1976,1.19
1977,1.19
1978,1.19
1979,1.19
1980,1.19
1981,1.19
1982,1.19
1983,1.19
1984,1.19
1985,1.19
1986,1.19
1987,1.19
1988,1.19
1989,1.19
1990,1.19
1991,1.2
1992,1.2
1993,1.2
1994,1.21
1995,1.2
1996,1.2
1997,1.2
1998,1.2
1999,1.2
2000,1.2
2001,1.2
2002,1.2
2003,1.2
2004,1.19
2005,1.19
2006,1.19
2007,1.19
2008,1.19
2009,1.19
2010,1.18
2011,1.18
2012,1.18
2013,1.17
2014,1.17
2015,1.16
2016,1.16
2017,1.16
2018,1.16
2019,1.17
2020,1.2
2021,1.2
2022,1.2
2023,1.18
2024,1.17
2025,1.15
2026,1.14
2027,1.14
2028,1.14
2029,1.16
2030,1.16
2031,1.16
2032,1.16
2033,1.15
2034,1.14
2035,1.13
2036,1.12
2037,1.12
2038,1.12
2039,1.12
2040,1.12
2041,1.12
2042,1.12
2043,1.12
2044,1.11
2045,1.11
2046,1.1
2047,1.1
2048,1.1
2049,1.1
2050,1.1
2051,1.1
2052,1.1
2053,1.1
2054,1.09
2055,1.09
2056,1.09
2057,1.09
2058,1.09
2059,1.09
2060,1.09
2061,1.09
2062,1.08
2063,1.08
2064,1.08
2065,1.08
2066,1.08
2067,1.08
2068,1.08
2069,1.08
2070,1.08
2071,1.07
2072,1.07
2073,1.07
2074,1.07
2075,1.07
2076,1.06
2077,1.06
2078,1.07
2079,1.08
2080,1.09
2081,1.1
2082,1.11
2083,1.11
2084,1.12
2085,1.12
2086,1.13
2087,1.13
2088,1.14
2089,1.15
2090,1.16
2091,1.16
2092,1.17
2093,1.17
2094,1.17
2095,1.17
2096,1.16
2097,1.16
2098,1.15
2099,1.15
2100,1.14
2101,1.14
2102,1.14
2103,1.14
2104,1.14
2105,1.15
2106,1.16
2107,1.17
2108,1.17
2109,1.18
2110,1.18
2111,1.18
2112,1.18
2113,1.19
2114,1.19
2115,1.2
2116,1.2
2117,1.19
2118,1.19
2119,1.19
2120,1.19
2121,1.18
2122,1.18
2123,1.17
2124,1.17
2125,1.16
2126,1.16
2127,1.15
2128,1.15
2129,1.14
2130,1.14
2131,1.14
2132,1.14
2133,1.14
2134,1.13
2135,1.13
2136,1.12
2137,1.12
2138,1.12
2139,1.12
2140,1.12
